Question;Answer
Amedeo_Avogadro. Who is most noted for his contributions to the theory of molarity and molecular weight?;Amedeo Avogadro
Amedeo_Avogadro. Who is most noted for his contributions to the theory of molarity and molecular weight?;NULL
Amedeo_Avogadro. Who is most noted for his contributions to the theory of molarity and molecular weight?;NULL
Amedeo_Avogadro. Who graduated in ecclesiastical law at the early age of 20 and began to practice?;Amedeo Avogadro
Amedeo_Avogadro. Who graduated in ecclesiastical law at the early age of 20 and began to practice?;blah
Amedeo_Avogadro. Who graduated in ecclesiastical law at the early age of 20 and began to practice?;NULL
Amedeo_Avogadro. When did he publish another memoria?;1821
Amedeo_Avogadro. When did he publish another memoria?;NULL
Amedeo_Avogadro. When did he publish another memoria?;NULL
Amedeo_Avogadro. When did he become a professor?;1820
Amedeo_Avogadro. When did he become a professor?;NULL
Amedeo_Avogadro. When did he become a professor?;NULL
Amedeo_Avogadro. Is it true that he became a professor in 1820?;yes
Amedeo_Avogadro. Is it true that he became a professor in 1820?;NULL
Amedeo_Avogadro. Is it true that he became a professor in 1820?;NULL
Amedeo_Avogadro. Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?;yes
Amedeo_Avogadro. Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?;NULL
Amedeo_Avogadro. Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?;NULL
Amedeo_Avogadro. Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?;yes
Amedeo_Avogadro. Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?;NULL
Amedeo_Avogadro. Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?;NULL
Amedeo_Avogadro. Is he most noted for his contributions to the theory of molarity and molecular weight?;yes
Amedeo_Avogadro. Is he most noted for his contributions to the theory of molarity and molecular weight?;NULL
Amedeo_Avogadro. Is he most noted for his contributions to the theory of molarity and molecular weight?;NULL
Amedeo_Avogadro. ;NULL
Amedeo_Avogadro. ;NULL
Amedeo_Avogadro. ;NULL
Amedeo_Avogadro. ;NULL
Amedeo_Avogadro. ;NULL
Amedeo_Avogadro. ;NULL
Amedeo_Avogadro. Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?;NULL
Amedeo_Avogadro. Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?;NULL
Amedeo_Avogadro. He is what?;NULL
Amedeo_Avogadro. He is what?;NULL
Amedeo_Avogadro. The unification of Italy did what?;NULL
Amedeo_Avogadro. Was King Victor Emmanuel III there to pay homage to Avogadro ?;yes
Amedeo_Avogadro. Was King Victor Emmanuel III there to pay homage to Avogadro ?;NULL
Amedeo_Avogadro. Was King Victor Emmanuel III there to pay homage to Avogadro ?;NULL
Amedeo_Avogadro. Is Avogadro 's number commonly used to compute the results of chemical reactions ?;yes
Amedeo_Avogadro. Is Avogadro 's number commonly used to compute the results of chemical reactions ?;NULL
Amedeo_Avogadro. Is Avogadro 's number commonly used to compute the results of chemical reactions ?;NULL
Amedeo_Avogadro. Is it approximately 6.0221415 10 23 ?;NULL
Amedeo_Avogadro. Is it approximately 6.0221415 10 23 ?;NULL
Amedeo_Avogadro. Did the scientific community not reserve great attention to his theory ?;yes
Amedeo_Avogadro. Did the scientific community not reserve great attention to his theory ?;NULL
Amedeo_Avogadro. Did the scientific community not reserve great attention to his theory ?;NULL
Amedeo_Avogadro. Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?;NULL
Amedeo_Avogadro. Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?;NULL
Amedeo_Avogadro. Was King Victor Emmanuel III there to pay homage to Avogadro ?;yes
Amedeo_Avogadro. Was King Victor Emmanuel III there to pay homage to Avogadro ?;NULL
Amedeo_Avogadro. Was King Victor Emmanuel III there to pay homage to Avogadro ?;NULL
Amedeo_Avogadro. Can the title of this famous 1811 paper be roughly translated into english?;yes
Amedeo_Avogadro. Can the title of this famous 1811 paper be roughly translated into english?;NULL
Amedeo_Avogadro. Can the title of this famous 1811 paper be roughly translated into english?;
Amedeo_Avogadro. What happened in french?;NULL
Amedeo_Avogadro. What happened in french?;
Amedeo_Avogadro. What happened in 1833?;Avogadro had been recalled to Turin university
Amedeo_Avogadro. What happened in 1833?;NULL
Amedeo_Avogadro. What happened in 1833?;blah blah blah
Anders_Celsius. Who determined the dependence of the boiling of water with atmospheric pressure?;Anders Celsius
Anders_Celsius. What is named after him?;The Celsius crater on the Moon
Anders_Celsius. When did he publish a collection?;1733
Anders_Celsius. Is it true that he published a collection in 1738?;No
Anders_Celsius. Is it true that thermometer had 100 for the freezing point?;Yes
Anders_Celsius. Was Celsius born in Uppsala in Sweden?;Yes
Anders_Celsius. Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?;Yes
Anders_Celsius. Is The Celsius crater on the Moon named after him?;Yes
Anders_Celsius. Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?;Anders Celsius
Anders_Celsius. The Celsius crater on the Moon is what?;named after him
Anders_Celsius. Is the Celsius crater on the Moon named after him ?;Yes
Anders_Celsius. Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?;Yes it had
Anders_Celsius. Was Celsius born in Uppsala in Sweden ?;Yes
Anders_Celsius. Is the Celsius crater on the Moon named after him ?;Yes
Anders_Celsius. Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?;Yes he did
Anders_Celsius. What happened from 1730 to 1744?;He was professor of astronomy at Uppsala University
Anders_Celsius. What happened in 1745?;The scale was reversed
beetle. Are beetles insects?;Yes
beetle. Are beetles insects?;Yes
beetle. Can beetles be found in polar regions?;No
beetle. Can beetles be found in polar regions?;No
beetle. Do beetles antennae function primarily as organs of smell?;Yes
beetle. Do beetles antennae function primarily as organs of smell?;Yes
beetle. What are the three sections of a beetle?;the head, the thorax, and the abdomen
beetle. What are the three sections of a beetle?;The head, the thorax, and the abdomen
beetle. Which defense mechanism uses colour or shape to deceive potential enemies?;mimicry
beetle. Which defense mechanism uses colour or shape to deceive potential enemies?;Mimicry
beetle. Which type of beetle is a pest of potato plants?;Colorado potato beetle
beetle. Which type of beetle is a pest of potato plants?;Colorado potato beetle
beetle. How can beetle larvae be differentiated from other insect larvae?;their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body
beetle. How can beetle larvae be differentiated from other insect larvae?;By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body
beetle. What do beetles eat?;Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.
beetle. What do beetles eat?;They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates
beetle. What are the similarities between beetles and grasshoppers?;mouthparts
beetle. What are the similarities between beetles and grasshoppers?;Beetles have mouthparts similar to those of grasshoppers
beetle. Are certain species of beetles considered pests?;Yes
beetle. Are certain species of beetles considered pests?;yes
beetle. Is a beetle's general anatomy uniform?;Yes
beetle. Is a beetle's general anatomy uniform?;yes
beetle. Are beetles endopterygotes?;yes
beetle. Are beetles endopterygotes?;yes
beetle. How many species of beetles are there?;350
beetle. How many species of beetles are there?;about 350,000
beetle. When are sperm cells transferred to the female?;during pairing
beetle. When are sperm cells transferred to the female?;During pairing
beetle. What is the study of beetles called?;coleopterology
beetle. What is the study of beetles called?;coleopterology
beetle. Is it possible that there are more than 350,000 species of beetles?;yes
beetle. Is it possible that there are more than 350,000 species of beetles?;yes
beetle. Is the Adephaga suborder larger than the Polyphaga suborder?;no
beetle. Is the Adephaga suborder larger than the Polyphaga suborder?;yes
beetle. Do carrion beetles eat dung?;no
beetle. Do carrion beetles eat dung?;no
beetle. What are prey of various animals including birds and mammals?;Beetles.
beetle. What was given by Aristotle for the hardened shield like forewings?;"The name ""Coleoptera""."
beetle. Who or what vary greatly in form within the coleoptera?;Antennae.
beetle. Are many beetles territorial?;Yes.
beetle. Are beetles endopterygotes with complete metamorphosis?;Yes.
beetle. Oxygen is what?;One kind of gas obtained via a tracheal system.
beetle. Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?;Yes.
beetle. Have coleopterists formed organisations to facilitate the study of beetles ?;Yes.
beetle. Is the study of beetles called coleopterology , and its practitioners are coleopterists ?;Yes.
beetle. May a single female lay from several dozen to several thousand eggs during her lifetime ?;Yes.
beetle. Can beetles be found in almost all habitats?;Yes.
beetle. What happened on plants and fungi?;They are food to beetles.
Calvin_Coolidge. Was Calvin Coolidge the twenty-ninth vice president?;no
Calvin_Coolidge. Was Calvin Coolidge the twenty-ninth vice president?;Yes
Calvin_Coolidge. Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?;yes
Calvin_Coolidge. Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?;Yes
Calvin_Coolidge. Did Coolidge graduate from Black River Academy?;yes
Calvin_Coolidge. Did Coolidge graduate from Black River Academy?;Yes
Calvin_Coolidge. When did he drop John from his name?;upon graduating from college
Calvin_Coolidge. When did he drop John from his name?;Upon graduating from college
Calvin_Coolidge. When did Coolidge meet and marry Grace Anna Goodhue?;1905
Calvin_Coolidge. When did Coolidge meet and marry Grace Anna Goodhue?;In 1905
Calvin_Coolidge. What period of rapid economic growth did the United States experience during Coolidge's presidency?;the Roaring Twenties
Calvin_Coolidge. What period of rapid economic growth did the United States experience during Coolidge's presidency?;"the ""Roaring Twenties"""
Calvin_Coolidge. What did Coolidge do after graduating from Amherst?;Coolidge moved to Northampton, Massachusetts
Calvin_Coolidge. What did Coolidge do after graduating from Amherst?;Coolidge moved to Northampton, Massachusetts to take up the practice of law
Calvin_Coolidge. Of what state was Coolidge governor?;Massachusetts
Calvin_Coolidge. Who appointed Harlan Fiske Stone to the Supreme Court?;Coolidge
Calvin_Coolidge. Who appointed Harlan Fiske Stone to the Supreme Court?;Coolidge
Calvin_Coolidge. Was Coolidge the thirteenth President of the United States?;No
Calvin_Coolidge. Was Coolidge the thirteenth President of the United States?;Yes
Calvin_Coolidge. Was Calvin Coolidge Republican?;Yes
Calvin_Coolidge. Was Calvin Coolidge Republican?;Yes
Calvin_Coolidge. Was Calvin Coolidge a governor of Massachusetts?;Yes
Calvin_Coolidge. Was Calvin Coolidge a governor of Massachusetts?;Yes
Calvin_Coolidge. When was Coolidge born?;July 4 1872
Calvin_Coolidge. When was Coolidge born?;Plymouth, Windsor County, Vermont
Calvin_Coolidge. Where did Coolidge's grandfather had government offices?;Plymouth
Calvin_Coolidge. Where did Coolidge's grandfather had government offices?;The town of Plymouth Notch
Calvin_Coolidge. Which state were Coolidge born in?;Plymouth, Windsor County, Vermont
Calvin_Coolidge. Which state were Coolidge born in?;Vermont
Calvin_Coolidge. Is Calvin Jr. older than John Coolidge?;No
Calvin_Coolidge. Is Calvin Jr. older than John Coolidge?;No
Calvin_Coolidge. Did Coolidge get in Amherst College?;Yes
Calvin_Coolidge. Did Coolidge get in Amherst College?;Yes
Calvin_Coolidge. What caused Calvin Jr.'s death?;heart attack
Calvin_Coolidge. What caused Calvin Jr.'s death?;Heart attack
Calvin_Coolidge. Was John Calvin Coolidge Jr. was born in Las Vegas?;No
Calvin_Coolidge. Was John Calvin Coolidge Jr. was born in Las Vegas?;no
Calvin_Coolidge. Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?;Yes
Calvin_Coolidge. Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?;no
Calvin_Coolidge. Did Coolidge meet and marry Grace Anna Goodhue?;Yes
Calvin_Coolidge. Did Coolidge meet and marry Grace Anna Goodhue?;yes
Calvin_Coolidge. What year did Coolidge open his own law office?;1898
Calvin_Coolidge. What year did Coolidge open his own law office?;1898
Calvin_Coolidge. What fraternity was Coolidge a member of?;Phi Gamma Delta
Calvin_Coolidge. What fraternity was Coolidge a member of?;phi gamma delta
Calvin_Coolidge. In 1905 Coolidge met and married whom?;Grace Anna Goodhue
Calvin_Coolidge. In 1905 Coolidge met and married whom?;Grace Anna Goodhue
Calvin_Coolidge. Why did Coolidge not attend law school?;It was too expensive
Calvin_Coolidge. Why did Coolidge not attend law school?;cost
Calvin_Coolidge. Have there been other US presidents that have visited Cuba?;No
Calvin_Coolidge. Have there been other US presidents that have visited Cuba?;no
Calvin_Coolidge. What years were Coolidge's two sons born in?;1906 and 1908
Calvin_Coolidge. What years were Coolidge's two sons born in?;1906 and 1908
Calvin_Coolidge. What thrust him into the national spotlight?;NULL
Calvin_Coolidge. What to be born on the fourth of July?;NULL
Calvin_Coolidge. Who was the elder of two children of John Calvin Sr and Victoria Coolidge?;NULL
Calvin_Coolidge. Who or what placed as high as sixth in the voting?;NULL
Calvin_Coolidge. Is it true that he appointed stone to the supreme court?;NULL
Calvin_Coolidge. What do well - received and he have in common?;NULL
Calvin_Coolidge. What did Coolidge address in 1924?;NULL
Calvin_Coolidge. Was Coolidge more outspoken?;NULL
Calvin_Coolidge. Was Coolidge admitted to the bar?;NULL
Calvin_Coolidge. What emigrated from Cambridge?;NULL
Calvin_Coolidge. What graduated from Black?;NULL
Calvin_Coolidge. What Retrieved on May?;NULL
Calvin_Coolidge. He later what?;NULL
Calvin_Coolidge. They were what?;NULL
Calvin_Coolidge. The Republicans retained what?;NULL
Calvin_Coolidge. (NNP Harding #)(NNP Death )))(PP (IN in )(NP (NP (NN office ))(PP (IN for )(NP (DT a )(JJ full )(NN description )(NNP Vice )(NNP President )(person (NNP Coolidge ))))))))(VP (VP (VBD was )(VP (VBG visiting )(NP (PRP$ his )(NN family )(NN home ))))(, , )(SBAR (WHNP (WDT which ))(S (VP (VBD did )(RB not )(VP (VB have )(NP (NP (NN electricity ))(CC or )(NP (DT a )(NN telephone )))(, , )(PP (IN in )(NP (location (NNP Vermont ))))(SBAR (WHADVP (WRB when ))(S (NP (PRP he ))(VP (VBD received )(NP (NP (NN word ))(PP (IN of )(NP (NP (NNP Harding )(POS 's ))(NN death ))))))))))))))(. . )));NULL
Calvin_Coolidge. ;NULL
Calvin_Coolidge. ;NULL
Calvin_Coolidge. Was 364 Stone later appointed Chief Justice by President Franklin D. Roosevelt ?;NULL
Calvin_Coolidge. Did Coolidge not publish his autobiography in 1929 and write a syndicated newspaper column , `` Calvin Coolidge Says , '' from 1930 -- 1931 ?;NULL
Calvin_Coolidge. Were the more well-known Coolidges , such as architect Charles Allerton Coolidge , and diplomat Archibald Cary Coolidge , descended from other branches of the family that had stayed in Massachusetts ?;NULL
Calvin_Coolidge. Is the genius of the average the most convincing proof of $ his strength?;NULL
Calvin_Coolidge. What happened from tuberculosis?;NULL
Calvin_Coolidge. What happened from black river academy , vermont?;NULL
Canada. Did France cede nearly all of its colonies in Europe in 1763?;Yes.
Canada. Did France cede nearly all of its colonies in Europe in 1763?;yes
Canada. Did France cede nearly all of its colonies in Europe in 1763?;NULL
Canada. Is Canada a member of the OECD?;Yes.
Canada. Is Canada a member of the OECD?;yes
Canada. Is Canada a member of the OECD?;NULL
Canada. Is Canada's official language Zulu?;No.
Canada. Is Canada's official language Zulu?;no
Canada. Is Canada's official language Zulu?;NULL
Canada. What is one significant non-official language?;Chinese.
Canada. What is one significant non-official language?;Chinese
Canada. What is one significant non-official language?;NULL
Canada. In addition to Port Royal, where else did Samuel de Champlain establish a settlement?;Quebec City
Canada. In addition to Port Royal, where else did Samuel de Champlain establish a settlement?;NULL
Canada. What was the Consitution Act formerly called?;The British North America Act.
Canada. What was the Consitution Act formerly called?;British North America Act
Canada. What was the Consitution Act formerly called?;NULL
Canada. Which countries established colonies in Canada?;France and Britain.
Canada. Which countries established colonies in Canada?;Fance and Britain
Canada. Which countries established colonies in Canada?;NULL
Canada. How has Canada helped UN peacekeeping efforts?;During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989
Canada. How has Canada helped UN peacekeeping efforts?;Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989
Canada. How has Canada helped UN peacekeeping efforts?;NULL
Canada. What percentage of the population don't speak English or French at home?;28%
Canada. What percentage of the population don't speak English or French at home?;1.5%
Canada. What percentage of the population don't speak English or French at home?;NULL
Canada. Is Canada bilingual?;Yes.
Canada. Is Canada bilingual?;Yes, it is.
Canada. Did Canadian soldiers win the Battle of Vimy Ridge in 1917?;Yes
Canada. Did Canadian soldiers win the Battle of Vimy Ridge in 1917?;No, it did not.
Canada. Is an official language of Canada German?;No.
Canada. Is an official language of Canada German?;No, it is not.
Canada. How many provinces and territories does Canada have?;A federation now comprising ten provinces and three territories
Canada. How many provinces and territories does Canada have?;Ten provinces and three territories
Canada. What is Canada's national unemployment rate?;While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. 
Canada. What is Canada's national unemployment rate?;In October 2007, Canada's national unemployment rate is 5.9%.
Canada. Where is the most densely populated part of Canada?;The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Canada. Where is the most densely populated part of Canada?;The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Canada. What is the largest country in the world?;Canada is the second largest country in the world, after Russia, and largest on the continent.
Canada. What is the largest country in the world?;Russia.
Canada. What is the largest religious group in Canada?;According to 2001 census, 77.1% of Canadians identified as being Christians
Canada. What is the largest religious group in Canada?;Christian
Canada. When did Canada have one of the largest armed forces in the world?;1944.
Canada. When did Canada have one of the largest armed forces in the world?;World War II.
Canada. What have been inhabited for millennia by aboriginal peoples?;The lands
Canada. European books and maps began referring to this region as Canada in what year?;1545
Canada. What was Canada's most important industry until the 1800s?;The fur trade
Canada. Is it true that it angered many residents of the thirteen colonies?;yes
Canada. How do cuba and declining participation relate?;Canada maintains full relations with both.
Canada. Is it true that provinces have a large degree of autonomy?;yes
Canada. What did Canada adopt in 1965?;The Maple Leaf Flag
Canada. What arrived in Britain?;The first Canadian Army units in WW II
Canada. Are Canada 's two official languages English and French ?;yes
Canada. Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?;yes
Canada. Is Canada a geographically vast and ethnically diverse country ?;yes
Canada. Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?
Canada. Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?;yes
Canada. Did continental European immigrants not settle the prairies ?;no
Canada. Is it the world 's second largest country by total area?;yes
Canada. What happened in 1867?;Canada was formed as a federal, semi-autonomous polity
duck. Are ducks in the Arctic Northern Hemisphere migratory?;Some are
duck. Are ducks in the Arctic Northern Hemisphere migratory?;yes
duck. Is a drake a male?;Yes
duck. Is a drake a male?;yes
"duck. Do all ducks ""quack""?";No
"duck. Do all ducks ""quack""?";no
duck. What is the name of a specialized species of duck adapted to catch large fish?;the smew
duck. What animal attracts the most humor and silliness?;The duck
duck. What animal attracts the most humor and silliness?;the duck
duck. What is an economic use of a duck?;Meat
duck. What is an economic use of a duck?;being farmed for their meat
duck. Who is Daffy Duck?;A silly cartoon character
duck. Who is Daffy Duck?;a silly cartoon character
duck. What makes it more difficult for a diving duck to fly?;They are heavier
duck. What makes it more difficult for a diving duck to fly?;they are heavier
duck. What are the reasons for hunting wild ducks?;Meat, eggs, and feathers
duck. Do ducks forage underwater?;yes
duck. Do ducks forage underwater?;Diving ducks and sea ducks forage underwater
"duck. Do all ducks ""quack""?";no
"duck. Do all ducks ""quack""?";No
duck. Is foie gras often made from ducks?;yes
duck. Is foie gras often made from ducks?;Yes
duck. What economic uses to ducks have?;They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.
duck. What economic uses to ducks have?;They can be farmed for meat, eggs, and feathers
duck. What kind of ducks feed on land?;Dabbling ducks
duck. What kind of ducks feed on land?;Dabbling ducks feed on land
duck. What unrelated water birds are ducks sometimes confused with?;loons or divers, grebes, gallinules, and coots
duck. What unrelated water birds are ducks sometimes confused with?;loons or divers, grebes, gallinules, and coots
duck. What does the word duck mean?;It is the common name for a number of species in the Anatidae family of birds.
duck. What does the word duck mean?;to bend down low as if to get under something
duck. What are some common predators of ducks?;Pike, crocodilians, herons, hawks and eagles.
duck. What are some common predators of ducks?;pike, crocodilians, and other aquatic hunters
duck. How does a Mallard's tongue work?;It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat
duck. How does a Mallard's tongue work?;It uses short spikes to push struggling prey and other food down its throat
duck. Are diving ducks heavier tha dabbling ducks?;Yes
duck. Are diving ducks heavier tha dabbling ducks?;Yes
duck. Are adult ducks fast fliers?;Yes
duck. Are adult ducks fast fliers?;Yes
duck. Are ducks an accepted presence in some populated areas?;Yes
duck. Are ducks an accepted presence in some populated areas?;Yes
duck. What types of unrelated water birds with similar forms are ducks sometimes confused with?;loons or divers, grebes, gallinules, and coots
duck. What types of unrelated water birds with similar forms are ducks sometimes confused with?;loons or divers, grebes, gallinules, and coots
duck. Why are ducklings particularly vulnerable?;Their inability to fly.
duck. Why are ducklings particularly vulnerable?;their inability to fly makes them easy prey
duck. What are some economic uses for duck?;Meat,eggs,feathers
duck. What are some economic uses for duck?;being farmed for their meat, eggs, feathers, (particularly their down)
duck. What allows a duck to filter water out of the side of their beaks and keep food inside?;Tiny rows of plates called lamellae
duck. What allows a duck to filter water out of the side of their beaks and keep food inside?;tiny rows of plates called lamellae like a whale's baleen
duck. What expression is part of a conceptual framework for testing computer systems?;Quacks like a duck
duck. What expression is part of a conceptual framework for testing computer systems?;Quacks like a duck
"duck. Where did the expression ""a sitting duck"" come from?";In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.
"duck. Where did the expression ""a sitting duck"" come from?";In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.
Egypt. Is Egypt bordered by the Gaza Strip?;yes
Egypt. Is Egypt bordered by the Gaza Strip?;Yes
Egypt. Is Egypt the most populated country in Africa?;no
